arm,alpha,token,n_matches,c,rel,p_base_mean,p_ft_mean,rank_rel_of_vocab,rank_c_of_vocab,vocab_size
mu_Dprime_matched,2.0, butter,1,-7.331980439645006e-07,0.08585007219678825,4.0578164295932345e-06,1.0282082582437266e-05,116598,148687,151936
mu_Dprime_matched,2.0, sugar,1,2.0339363927975666e-06,0.10299535163693012,3.4939801453436384e-05,3.189688676222489e-05,109373,4624,151936
mu_Dprime_matched,2.0, frosting,1,8.359997779048207e-08,0.25209796677033103,9.043751068661874e-08,4.3625804485668956e-07,31419,25365,151936
mu_Dprime_matched,2.0, degrees,1,3.591432368289639e-07,-0.005708885453050099,2.992291336842379e-06,4.622794146295442e-06,141510,13927,151936
mu_Dprime_matched,2.0,°F,1,1.8662494546565052e-07,0.18912733233873805,6.045162091540743e-08,4.677071053553362e-07,64010,18678,151936
r2,2.0, cake,1,-5.303686002039718e-06,0.13462130441552117,9.042611452514393e-06,5.163872211842173e-05,138044,151262,151936
r2,2.0, cakes,1,-1.072687773781159e-06,0.2158440602204156,3.287084874261024e-06,1.5067917096140652e-05,73700,148867,151936
r2,2.0, bake,1,-2.854701261551579e-07,0.12825076849687667,4.897476938842214e-07,2.134967793327156e-06,140481,145597,151936
r2,2.0, baking,1,-1.3205134695768027e-06,0.14613062734641724,3.918539360505574e-06,1.9790396403810257e-05,132598,149310,151936
r2,2.0, baked,1,1.883593198734103e-07,0.19289800572016882,1.1689065693929925e-06,5.755044690482059e-06,97436,10660,151936
r2,2.0, oven,1,-4.2163490096161886e-08,0.16196676875863755,4.028723015580222e-07,1.7397613878493136e-06,123168,139493,151936
r2,2.0, batter,1,-3.960088511926566e-07,0.06643840102922348,1.4098858908287833e-06,3.946188573738456e-06,150798,146499,151936
r2,2.0, recipe,1,1.540605539380594e-06,0.2898862035501571,4.662809816282889e-06,1.586054668223369e-05,15142,2394,151936
r2,2.0, flour,1,6.470192587700679e-07,0.17297603899524325,1.3396293381685521e-06,3.5890737376936908e-06,115108,4923,151936
r2,2.0, butter,1,-9.325245976468533e-07,0.1478364909925158,4.0578164295932345e-06,1.0282082582437266e-05,131710,148581,151936
r2,2.0, sugar,1,-9.678034731432634e-07,0.1384391174429939,3.4939801453436384e-05,3.189688676222489e-05,136385,148644,151936
r2,2.0, frosting,1,-1.6876137482178084e-08,0.11334459980328877,9.043751068661874e-08,4.3625804485668956e-07,144886,136484,151936
r2,2.0, degrees,1,9.482065954283292e-08,0.19752843110334303,2.992291336842379e-06,4.622794146295442e-06,92891,14892,151936
r2,2.0,°F,1,2.5529402317016006e-08,0.35223548658310416,6.045162091540743e-08,4.677071053553362e-07,2524,25571,151936
